Year,State,type,production,Avg,Measures,Materials,Chemical,Value
2019,CALIFORNIA,,ACRES HARVESTED  ,,, ,,35400.00 
2019,CALIFORNIA,,ACRES PLANTED  ,,, ,,36000.00 
2019,CALIFORNIA,,PRODUCTION  ,,MEASURED IN $, ,,2221320000.00 
2019,CALIFORNIA,,PRODUCTION  ,,MEASURED IN CWT, ,,20500000.00 
2019,CALIFORNIA,,YIELD  ,,MEASURED IN CWT / ACRE, ,,580.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(AZOXYSTROBIN = 128810),FUNGICIDE,5500.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BACILLUS PUMILUS = 6485),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BACILLUS SUBT. GB03 = 129068),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BACILLUS SUBTILIS = 6479),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BLAD = 30006),FUNGICIDE,1200.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BORAX DECAHYDRATE = 11102),FUNGICIDE,300.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BOSCALID = 128008),FUNGICIDE,6200.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(BT SUBSP KURSTAKI EVB-113-19 = 6544),FUNGICIDE,(NA)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(CAPTAN = 81301),FUNGICIDE,283500.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(COPPER HYDROXIDE = 23401),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(COPPER OCTANOATE = 23306),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(CYFLUFENAMID = 555550),FUNGICIDE,400.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(CYPRODINIL = 288202),FUNGICIDE,16600.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(DIFENOCONAZOLE = 128847),FUNGICIDE,900.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(FENHEXAMID = 90209),FUNGICIDE,15000.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(FLUDIOXONIL = 71503),FUNGICIDE,11100.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(FLUOPYRAM = 80302),FUNGICIDE,3900.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(FLUXAPYROXAD = 138009),FUNGICIDE,3900.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(FOSETYL-AL = 123301),FUNGICIDE,34200.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(ISOFETAMID = 270000),FUNGICIDE,(D)
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(MEFENOXAM = 113502),FUNGICIDE,9300.00 
2019,CALIFORNIA,BEARING,APPLICATIONS  ,,MEASURED IN LB,(MONO-POTASSIUM SALT = 76416),FUNGICIDE,(D)
