"Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
2019,"CALIFORNIA","","ACRES HARVESTED  ","",""," ","",35400
2019,"CALIFORNIA","","ACRES PLANTED  ","",""," ","",36000
2019,"CALIFORNIA","","PRODUCTION  ","","MEASURED IN $"," ","",2221320000
2019,"CALIFORNIA","","PRODUCTION  ","","MEASURED IN CWT"," ","",20500000
2019,"CALIFORNIA","","YIELD  ","","MEASURED IN CWT / ACRE"," ","",580
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(AZOXYSTROBIN = 128810)","FUNGICIDE",5500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BACILLUS PUMILUS = 6485)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BACILLUS SUBT. GB03 = 129068)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BACILLUS SUBTILIS = 6479)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BLAD = 30006)","FUNGICIDE",1200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BORAX DECAHYDRATE = 11102)","FUNGICIDE",300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BOSCALID = 128008)","FUNGICIDE",6200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CAPTAN = 81301)","FUNGICIDE",283500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(COPPER HYDROXIDE = 23401)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(COPPER OCTANOATE = 23306)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CYFLUFENAMID = 555550)","FUNGICIDE",400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CYPRODINIL = 288202)","FUNGICIDE",16600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(DIFENOCONAZOLE = 128847)","FUNGICIDE",900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FENHEXAMID = 90209)","FUNGICIDE",15000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUDIOXONIL = 71503)","FUNGICIDE",11100
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUOPYRAM = 80302)","FUNGICIDE",3900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUXAPYROXAD = 138009)","FUNGICIDE",3900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FOSETYL-AL = 123301)","FUNGICIDE",34200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ISOFETAMID = 270000)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(MEFENOXAM = 113502)","FUNGICIDE",9300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(MYCLOBUTANIL = 128857)","FUNGICIDE",5600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PENTHIOPYRAD = 90112)","FUNGICIDE",7000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE",1400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(POTASSIUM BICARBON. = 73508)","FUNGICIDE",11300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PROPICONAZOLE = 122101)","FUNGICIDE",1600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE",7400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE",9300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(QUINOLINE = 55459)","FUNGICIDE",4800
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE",686000
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TETRACONAZOLE = 120603)","FUNGICIDE",600
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(THIOPHANATE-METHYL = 102001)","FUNGICIDE",3300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(THIRAM = 79801)","FUNGICIDE",90900
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TOTAL)","FUNGICIDE",1233500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TRICHODERMA HARZ. = 119202)","FUNGICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE",4200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE",7200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE",200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(FLUMIOXAZIN = 129034)","HERBICIDE",1100
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(GLUFOSINATE-AMMONIUM = 128850)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(NAPROPAMIDE = 103001)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(OXYFLUORFEN = 111601)","HERBICIDE",1300
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PARAQUAT = 61601)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(PENDIMETHALIN = 108501)","HERBICIDE",5500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(SULFENTRAZONE = 129081)","HERBICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(TOTAL)","HERBICIDE",10200
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE",500
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ACEQUINOCYL = 6329)","INSECTICIDE",5400
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE",2800
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(AZADIRACHTIN = 121701)","INSECTICIDE",800
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BEAUVERIA BASSIANA = 128924)","INSECTICIDE",0
2019,"CALIFORNIA","BEARING","APPLICATIONS  ","","MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE",17900
